sh,a,rh,x,wavelength,absorption
35.0,100.0,13.0,150.0,241.19633381573,0.88680794389125
35.0,100.0,13.0,150.0,241.46812620734,0.88697611785704
35.0,100.0,13.0,150.0,241.74053182917,0.88714442032847
35.0,100.0,13.0,150.0,242.01355275895,0.88731285021812
35.0,100.0,13.0,150.0,242.28719108383,0.88748140646585
35.0,100.0,13.0,150.0,242.56144890039,0.88765008803823
35.0,100.0,13.0,150.0,242.83632831472,0.88781889392796
35.0,100.0,13.0,150.0,243.11183144246,0.88798782315328
35.0,100.0,13.0,150.0,243.38796040889,0.88815687475741
35.0,100.0,13.0,150.0,243.66471734893,0.88832604780799
35.0,100.0,13.0,150.0,243.94210440722,0.88849534139641
35.0,100.0,13.0,150.0,244.2201237382,0.88866475463733
35.0,100.0,13.0,150.0,244.49877750611,0.88883428666802
35.0,100.0,13.0,150.0,244.77806788512,0.88900393664779
35.0,100.0,13.0,150.0,245.0579970593,0.8891737037574
35.0,100.0,13.0,150.0,245.33856722277,0.88934358719848
35.0,100.0,13.0,150.0,245.61978057966,0.8895135861929
35.0,100.0,13.0,150.0,245.90163934426,0.88968369998221
35.0,100.0,13.0,150.0,246.18414574101,0.88985392782702
35.0,100.0,13.0,150.0,246.4673020046,0.8900242690064
35.0,100.0,13.0,150.0,246.75111038,0.89019472281729
35.0,100.0,13.0,150.0,247.03557312253,0.89036528857389
35.0,100.0,13.0,150.0,247.32069249794,0.89053596560703
35.0,100.0,13.0,150.0,247.60647078244,0.89070675326362
35.0,100.0,13.0,150.0,247.89291026277,0.89087765090599
35.0,100.0,13.0,150.0,248.18001323627,0.8910486579113
35.0,100.0,13.0,150.0,248.46778201093,0.89121977367092
35.0,100.0,13.0,150.0,248.75621890547,0.89139099758983
35.0,100.0,13.0,150.0,249.04532624938,0.89156232908599
35.0,100.0,13.0,150.0,249.33510638298,0.89173376758975
35.0,100.0,13.0,150.0,249.62556165751,0.89190531254319
35.0,100.0,13.0,150.0,249.91669443519,0.89207696339955
35.0,100.0,13.0,150.0,250.20850708924,0.89224871962256
35.0,100.0,13.0,150.0,250.50100200401,0.89242058068585
35.0,100.0,13.0,150.0,250.79418157499,0.89259254607233
35.0,100.0,13.0,150.0,251.08804820891,0.89276461527354
35.0,100.0,13.0,150.0,251.38260432378,0.89293678778904
35.0,100.0,13.0,150.0,251.67785234899,0.89310906312579
35.0,100.0,13.0,150.0,251.97379472535,0.89328144079749
35.0,100.0,13.0,150.0,252.27043390515,0.893453920324
35.0,100.0,13.0,150.0,252.56777235225,0.89362650123064
35.0,100.0,13.0,150.0,252.86581254214,0.89379918304763
35.0,100.0,13.0,150.0,253.16455696203,0.89397196530939
35.0,100.0,13.0,150.0,253.46400811085,0.89414484755395
35.0,100.0,13.0,150.0,253.76416849941,0.89431782932231
35.0,100.0,13.0,150.0,254.06504065041,0.89449091015776
35.0,100.0,13.0,150.0,254.36662709852,0.89466408960527
35.0,100.0,13.0,150.0,254.66893039049,0.89483736721087
35.0,100.0,13.0,150.0,254.97195308516,0.89501074252096
35.0,100.0,13.0,150.0,255.27569775357,0.8951842150817
35.0,100.0,13.0,150.0,255.58016697904,0.89535778443834
35.0,100.0,13.0,150.0,255.88536335722,0.8955314501346
35.0,100.0,13.0,150.0,256.19128949616,0.89570521171201
35.0,100.0,13.0,150.0,256.49794801642,0.89587906870925
35.0,100.0,13.0,150.0,256.8053415511,0.89605302066149
35.0,100.0,13.0,150.0,257.11347274597,0.89622706709979
35.0,100.0,13.0,150.0,257.42234425948,0.8964012075504
35.0,100.0,13.0,150.0,257.73195876289,0.89657544153409
35.0,100.0,13.0,150.0,258.04231894031,0.89674976856555
35.0,100.0,13.0,150.0,258.3534274888,0.89692418815268
35.0,100.0,13.0,150.0,258.66528711847,0.89709869979598
35.0,100.0,13.0,150.0,258.97790055249,0.89727330298784
35.0,100.0,13.0,150.0,259.29127052723,0.89744799721189
