sh,a,rh,x,wavelength,absorption
35.0,100.0,13.0,150.0,200.0,0.93936667210586
35.0,100.0,13.0,150.0,200.18684105165,0.93939022242396
35.0,100.0,13.0,150.0,200.37403152551,0.93941378830353
35.0,100.0,13.0,150.0,200.56157240273,0.93943736850916
35.0,100.0,13.0,150.0,200.74946466809,0.9394609618196
35.0,100.0,13.0,150.0,200.93770931011,0.9394845670279
35.0,100.0,13.0,150.0,201.126307321,0.93950818294152
35.0,100.0,13.0,150.0,201.31525969668,0.93953180838247
35.0,100.0,13.0,150.0,201.50456743686,0.93955544218741
35.0,100.0,13.0,150.0,201.69423154498,0.93957908320782
35.0,100.0,13.0,150.0,201.88425302826,0.93960273031004
35.0,100.0,13.0,150.0,202.07463289775,0.93962638237548
35.0,100.0,13.0,150.0,202.26537216828,0.93965003830067
35.0,100.0,13.0,150.0,202.45647185855,0.93967369699744
35.0,100.0,13.0,150.0,202.64793299108,0.93969735739297
35.0,100.0,13.0,150.0,202.83975659229,0.93972101842999
35.0,100.0,13.0,150.0,203.03194369247,0.93974467906684
35.0,100.0,13.0,150.0,203.22449532584,0.9397683382776
35.0,100.0,13.0,150.0,203.41741253051,0.93979199505222
35.0,100.0,13.0,150.0,203.61069634858,0.93981564839664
35.0,100.0,13.0,150.0,203.80434782609,0.93983929733291
35.0,100.0,13.0,150.0,203.99836801306,0.93986294089926
35.0,100.0,13.0,150.0,204.19275796352,0.93988657815031
35.0,100.0,13.0,150.0,204.38751873552,0.93991020815707
35.0,100.0,13.0,150.0,204.58265139116,0.93993383000717
35.0,100.0,13.0,150.0,204.77815699659,0.9399574428049
35.0,100.0,13.0,150.0,204.97403662203,0.93998104567133
35.0,100.0,13.0,150.0,205.17029134181,0.94000463774449
35.0,100.0,13.0,150.0,205.36692223439,0.94002821817939
35.0,100.0,13.0,150.0,205.56393038235,0.94005178614822
35.0,100.0,13.0,150.0,205.76131687243,0.94007534084039
35.0,100.0,13.0,150.0,205.95908279555,0.94009888146272
35.0,100.0,13.0,150.0,206.15722924684,0.94012240723949
35.0,100.0,13.0,150.0,206.35575732563,0.94014591741258
35.0,100.0,13.0,150.0,206.5546681355,0.94016941124158
35.0,100.0,13.0,150.0,206.75396278429,0.9401928880039
35.0,100.0,13.0,150.0,206.95364238411,0.94021634699491
35.0,100.0,13.0,150.0,207.15370805137,0.94023978752799
35.0,100.0,13.0,150.0,207.35416090683,0.9402632089347
35.0,100.0,13.0,150.0,207.55500207555,0.94028661056486
35.0,100.0,13.0,150.0,207.75623268698,0.94030999178669
35.0,100.0,13.0,150.0,207.95785387495,0.94033335198689
35.0,100.0,13.0,150.0,208.15986677769,0.94035669057075
35.0,100.0,13.0,150.0,208.36227253785,0.94038000696231
35.0,100.0,13.0,150.0,208.56507230256,0.94040330060439
35.0,100.0,13.0,150.0,208.76826722338,0.94042657095879
35.0,100.0,13.0,150.0,208.97185845639,0.94044981750631
35.0,100.0,13.0,150.0,209.17584716218,0.94047303974694
