sh,a,rh,x,wavelength,absorption
35.0,100.0,13.0,150.0,209.995800084,0.99155587994183
35.0,100.0,13.0,150.0,210.20179372197,0.99156869427465
35.0,100.0,13.0,150.0,210.40819189227,0.99158133536456
35.0,100.0,13.0,150.0,210.6149957877,0.99159380389194
35.0,100.0,13.0,150.0,210.82220660576,0.99160610052463
35.0,100.0,13.0,150.0,211.02982554868,0.99161822591801
35.0,100.0,13.0,150.0,211.23785382341,0.99163018071508
35.0,100.0,13.0,150.0,211.44629264167,0.99164196554649
35.0,100.0,13.0,150.0,211.65514321998,0.99165358103066
35.0,100.0,13.0,150.0,211.86440677966,0.99166502777384
35.0,100.0,13.0,150.0,212.07408454687,0.99167630637012
35.0,100.0,13.0,150.0,212.28417775262,0.99168741740155
35.0,100.0,13.0,150.0,212.49468763281,0.9916983614382
35.0,100.0,13.0,150.0,212.70561542825,0.99170913903818
35.0,100.0,13.0,150.0,212.91696238467,0.99171975074773
35.0,100.0,13.0,150.0,213.12872975277,0.99173019710127
35.0,100.0,13.0,150.0,213.34091878822,0.99174047862146
35.0,100.0,13.0,150.0,213.55353075171,0.99175059581923
35.0,100.0,13.0,150.0,213.76656690894,0.99176054919388
35.0,100.0,13.0,150.0,213.98002853067,0.99177033923309
35.0,100.0,13.0,150.0,214.19391689276,0.99177996641296
35.0,100.0,13.0,150.0,214.40823327616,0.99178943119811
35.0,100.0,13.0,150.0,214.62297896695,0.99179873404168
35.0,100.0,13.0,150.0,214.83815525637,0.99180787538539
35.0,100.0,13.0,150.0,215.05376344086,0.99181685565959
35.0,100.0,13.0,150.0,215.26980482204,0.9918256752833
35.0,100.0,13.0,150.0,215.48628070679,0.99183433466424
35.0,100.0,13.0,150.0,215.70319240725,0.99184283419887
35.0,100.0,13.0,150.0,215.92054124082,0.99185117427244
35.0,100.0,13.0,150.0,216.13832853026,0.99185935525902
35.0,100.0,13.0,150.0,216.35655560363,0.99186737752154
35.0,100.0,13.0,150.0,216.5752237944,0.99187524141182
